序号	英文	释义
1573	novelty	新奇事物； 新奇， 新奇感， 新奇性； 新颖小巧而廉价的物品 (n.)
1574	occupy	占领； 占； 占有 (vt.)
1575	string	线， 细绳； 一串， 一行 (n.)
1576	boom	激增， 繁荣， 迅速发展； 发出隆隆声 (vi.)
1577	absence	缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在 (n.)
1578	abolish	彻底废除， 废止 (vt.)
1579	cautious	十分小心的， 谨慎的 (adj.)
1580	snatch	一把抓住 (vi.)
1581	blink	眨眼睛；闪亮，闪烁 (vi.)
1582	summit	最高点， 峰顶； 最高级会议 (n.)
1583	perfume	香水，香料，香气 (n.)
1584	magnify	放大， 扩大； 夸大， 夸张 (vt.)
1585	redundant	多余的， 过剩的 (adj.)
1586	situated	位于…的， 坐落在…的； 处于…境地的 (adj.)
1587	recession	衰退， 衰退期 (n.)
1588	doubtless	无疑地， 肯定地 (adv.)
1589	negative	否定的，消极的；负的，阴性的 (adj.)
1590	impose	把…强加； 征 (vt.)
1591	statement	陈述， 声明； 结算单， 报表 (n.)
1592	trademark	商标， 牌号； 特征， 标记 (n.)
1593	factor	因素， 因子； 系数 (n.)
1594	analogous	类似的， 相似的； 可比拟的 (adj.)
1595	substance	物质； 实质； 大意， 要旨； 根据， 理由 (n.)
1596	complexion	肤色， 面色； 局面； 性质 (n.)
1597	continuity	连续， 持续 (n.)
1598	sculpture	雕刻， 雕塑； 雕刻作品， 雕塑品 (n.)
1599	target	靶， 标的， 目标 (n.)
1600	momentum	动力， 冲力， 势头； 动量 (n.)
1601	wax	蜡，蜂蜡 (n.)
1602	sensation	感觉能力； 感觉， 知觉； 轰动， 引起轰动的事件 (n.)
1603	urban	都市的， 住在都市的 (adj.)
1604	furthermore	而且， 此外 (adv.)
1605	timely	及时的， 适时的 (adj.)
1606	cape	斗篷， 披肩； 海角， 岬 (n.)
1607	discard	丢弃， 抛弃， 遗弃 (vt.)
1608	delicate	纤细的； 易碎的； 微妙的； 精美的 (adj.)
1609	rebel	反叛， 造反； 反对， 不服从 (vi.)
1610	subsidy	津贴， 补助金 (n.)
1611	bounce	弹起，反弹，颠跳 (v.)
1612	obscene	淫秽的， 下流的； 可憎的， 可恶的 (adj.)
1613	tissue	组织； 薄绢， 薄纸， 手巾纸 (n.)
1614	Thanksgiving	感恩节 (n.)
1615	proficiency	熟练， 精通 (n.)
1616	modest	谦虚的； 适中的； 羞怯的 (adj.)
1617	cast	投，扔，抛；浇铸 (vt.)
1618	vocational	职业的， 业务的 (adj.)
1619	crush	压碎， 碾碎， 镇压 (vt.)
1620	hatred	憎恶， 憎恨， 仇恨 (n.)
1621	slice	薄片，切片，部分 (n.)
1622	electron	电子 (n.)
1623	embed	把…嵌入， 扎牢； 使深留脑中 (vt.)
1624	incline	斜坡[In'klaIn] (n.)
1625	elevate	提升…的职位， 提高， 改善； 使情绪高昂； 举起， 使上升 (vt.)
1626	designate	指派， 委任； 标出； 把…定名为 (vt.)
1627	promising	有希望的， 有前途的 (adj.)
1628	slick	圆滑的， 口齿伶俐的； 精巧的， 巧妙的， 灵巧的； 光滑的， 滑溜的 (adj.)
1629	practicable	可行的， 适用的 (adj.)
1630	item	条， 条款 (n.)
1631	counsel	律师，法律顾问；忠告，劝告 (n.)
1632	canvas	帆布； 帆布画布， 油画 (n.)
1633	superintendent	主管人， 监管人， 负责人； 警长 (n.)
1634	probability	可能性， 可能发生的事； 概率 (n.)
1635	contention	论点； 争论， 争辩 (n.)
1636	lofty	高傲的， 傲慢的； 崇高的， 高尚的； 高耸的， 极高的 (adj.)
1637	explicit	详述的， 明确的， 明晰的； 直言的， 露骨的 (adj.)
1638	rely	依靠， 依赖； 信赖， 指望 (vi.)
1639	slide	滑；悄悄地移动 (v.)
1640	utilize	利用 (vt.)
1641	sticky	黏性的， 胶粘的； 湿热的 (adj.)
1642	prevail	流行， 盛行 (vi.)
1643	excessive	过多的， 极度的 (adj.)
1644	denial	否认； 拒绝， 拒绝给予 (n.)
1645	assault	攻击， 袭击 (n.)
1646	implicit	不言明的， 含蓄的； 内含的， 固有的； 无疑问的 (adj.)
1647	intensify	增强， 加剧 (v.)
1648	feminine	女性的， 女子的； 女子气的 (adj.)
1649	purity	纯净， 纯洁， 纯正 (n.)
1650	pattern	型，式样；模，模型 (n.)
1651	settle	安排， 安放； 调停； 支付， 核算； 安家； 飞落， 停留； 安定 (v.)
1652	heighten	提高， 加强 (v.)
1653	vehicle	车辆， 机动车； 传播媒介， 工具， 手段 (n.)
1654	scrape	刮，擦；勉强过日子 (v.)
1655	web	网； 网络； 错综复杂的事物 (n.)
1656	femininity	女性气质 (n.)
1657	plateau	高原； 稳定时期 (n.)
1658	tragic	悲惨的， 可悲的； 悲剧的 (adj.)
1659	grin	咧嘴笑 (n.)
1660	grip	握紧，抓牢；吸引住…的注意力 (vt.)
1661	reliance	依靠， 依赖 (n.)
1662	explore	探险， 探索； 仔细查阅， 探究 (v.)
1663	display	陈列， 展览； 显示 (n&vt.)
1664	electricity	电 (n.)
1665	climate	气候； 风土， 地带； 风气， 气氛 (n.)
1666	tentative	试探的， 试验的 (adj.)
1667	disorder	混乱， 杂乱； 骚乱 (n.)
1668	aggravate	加重， 加剧， 使恶化； 激怒， 使恼火 (vt.)
1669	criticize	批评， 评论， 非难 (vt.)
1670	preside	主持，主管 (vi.)
1671	economic	经济的；经济学的 (adj.)
1672	transistor	晶体管， 晶体管收音机 (n.)
1673	statistics	统计学； 统计表 (n.)
1674	grim	讨厌的， 糟糕的； 严厉的； 冷酷的， 无情的 (adj.)
1675	giggle	咯咯笑， 傻笑 (n.)
1676	offspring	子女， 子孙， 后代； 崽 (n.)
1677	arrest	逮捕，拘留；停止，阻止；吸引 (vt.)
1678	mature	成熟的，成年人的；深思熟虑的；到期的，应支付的 (adj.)
1679	alleviate	减轻； 缓解， 缓和 (vt.)
1680	notification	通知， 告示； 通知书 (n.)
1681	overflow	满得外溢，外流，泛滥；充满，洋溢 (vi.)
1682	provoke	对…挑衅， 激怒； 激起， 引起 (vt.)
1683	threaten	威胁， 恐吓； 预示快要来临； 构成威胁， 可能发生 (v.)
1684	enrich	充实， 使丰富； 使富裕， 使富有 (vt.)
1685	foil	箔，金属薄片；陪衬，衬托 (n.)
1686	strain	扭伤， 拉伤； 尽力使用， 紧张； 拉紧； 尽力 (v.)
1687	negotiate	洽谈， 协商， 谈判； 顺利通过， 成功越过 (v.)
1688	cellar	地窖， 地下室； 酒窖 (n.)
1689	tangle	缠结，乱作一团 (v.)
1690	package	包裹，包装；一揽子交易 (n.)
1691	intrigue	耍阴谋，施诡计 (vi.)
1692	orient	转向特定方向；适应[theO-] (vi.)
1693	crisis	危机， 存亡之际； 关键阶段 (n.)
1694	handicap	缺陷；障碍，不利条件 (n.)
1695	survival	幸存； 幸存者； 残存物 (n.)
1696	shatter	碎裂 (vi.)
1697	plea	恳求， 请求； 抗辩， 答辩， 辩护； 借口， 托辞 (n.)
1698	persuasion	说服， 劝说； 信念， 信仰 (n.)
1699	keen	热心的； 激烈的； 敏锐的， 敏捷的 (adj.)
1700	nutrition	营养 (n.)
1701	detective	侦探， 私人侦探 (n.)
1702	transfer	搬， 转移； 调动， 转学； 转让， 过户； 乘车， 转乘 (v.)
1703	veteran	经验丰富的 (adj.)
1704	cereal	加工而成的谷类食物； 谷类植物， 谷物 (n.)
1705	esthetic	美学的， 审美的； 悦目的， 雅致的 (adj.)
1706	indifferent	冷漠的， 不积极的； 一般的， 平平的 (adj.)
1707	affection	感情； 爱， 爱慕 (n.)
1708	diversion	转移， 转向； 消遣， 娱乐； 临时绕行路 (n.)
1709	elementary	基本的， 初级的 (adj.)
1710	eagle	鹰 (n.)
1711	solemn	庄严的， 隆重的； 严肃的 (adj.)
1712	embarrass	使窘迫， 使为难 (vt.)
1713	erroneous	错误的， 不正确的 (adj.)
1714	option	选择， 选择权， 选择自由； 选择的事物， 选课 (n.)
1715	acute	严重的； 急性的； 灵敏的， 敏锐的； 精明的 (adj.)
1716	limitation	限制， 限度； 局限 (n.)
1717	jog	慢跑； 轻轻碰撞 (n&v.)
1718	terrify	使害怕， 使惊吓 (vt.)
1719	handbook	手册， 便览 (n.)
1720	ascertain	弄清， 查明； 确定 (vt.)
1721	crucial	至关重要的， 决定性的 (adj.)
1722	contribute	捐献， 捐款； 投稿 (v.)
1723	insert	插入， 嵌入； 登载 (vt.)
1724	faith	信任， 信心； 信仰， 信条 (n.)
1725	inspiration	灵感； 鼓舞人心的人 (n.)
1726	endurance	忍耐力； 持久， 耐久 (n.)
1727	highlight	强调，突出，使显著 (vt.)
1728	candidate	候选人， 投考者， 申请求职者 (n.)
1729	strive	努力， 奋斗， 力求 (vi.)
1730	database	数据库 (n.)
1731	intelligible	可理解的， 明白易懂的， 清楚的 (adj.)
1732	parallel	并列的，平行的；类似的；对应的；并联的 (adj.)
1733	reject	拒绝； 拒纳， 退回， 摈弃 (vt.)
1734	hospitality	友好款待， 好客 (n.)
1735	sheer	垂直地，陡峭地 (adv.)
1736	imitation	模仿； 仿制， 伪制品； 赝品 (n.)
1737	compliment	赞美，恭维；致意，问候 (n.)
1738	blunder	跌跌撞撞地走， 慌乱地走； 犯错误 (vi.)
1739	breach	破坏，违反；破裂，不和；缺口，裂口 (n.)
1740	original	最初的；新颖的；原版的 (adj.)
1741	comply	遵从， 依从， 服从 (vi.)
1742	deviate	背离， 偏离 (vi.)
1743	assignment	任务； 指定的作业； 分配， 指派 (n.)
1744	album	粘贴簿， 集邮簿， 相册 (n.)
1745	stimulus	促进； 刺激 (n.)
1746	electric	电的， 电动的 (adj.)
1747	bewilder	使迷惑； 使难住 (vt.)
1748	regiment	团；大量 (n.)
1749	diminish	变少，变小，降低 (vi.)
1750	surpass	超过， 优于， 多于； 超过…的界限， 非…所能办到 (vt.)
1751	various	各种各样的， 不同的 (adj.)
1752	depression	抑郁， 沮丧； 不景气， 萧条； 洼地， 凹陷 (n.)
1753	affiliate	使隶属于 (vt.)
1754	unfold	展开， 打开； 显露， 展现 (v.)
1755	extent	广度； 范围； 程度 (n.)
1756	equivalent	相等的，等量的 (adj.)
1757	sensational	轰动的， 耸人听闻的； 使人感动的， 非常好的 (adj.)
1758	wedge	楔 (n.)
1759	alienate	使疏远， 使不友好， 离间； 转让， 让渡 (vt.)
1760	brink	边缘， 边沿 (n.)
1761	plague	瘟疫，鼠疫；灾难，祸患 (n.)
1762	perpetual	永久的， 永恒的， 长期的； 无休止的， 没完没了的 (adj.)
1763	retrospect	回顾 (n.)
1764	fascinate	强烈地吸引， 迷住 (vt.)
1765	colonial	殖民地的 (adj.)
1766	warfare	战争； 斗争， 冲突 (n.)
1767	draft	草稿；汇票；征兵；通风 (n.)
1768	complex	由许多部分组成的，复合的；复杂的，难懂的 (adj.)
1769	assumption	假定， 臆断； 担任， 承担 (n.)
1770	humidity	湿度， 潮湿， 湿气 (n.)
1771	rank	列入， 占特定等级 (vi.)
1772	pamphlet	小册子 (n.)
1773	preparatory	预备的 (adj.)
1774	neglect	忽视， 忽略； 疏忽 (n&vt.)
1775	addition	加， 加法； 附加物 (n.)
1776	vein	静脉， 血管； 叶脉； 纹理， 纹路； 方式， 风格 (n.)
1777	carve	切， 把…切碎； 雕刻， 刻 (vt.)
1778	veil	面纱，面罩；遮盖物，掩饰物 (n.)
1779	shrink	起皱； 收缩； 退缩， 畏缩 (vi.)
1780	hierarchy	等级制度； 统治集团， 领导层 (n.)
1781	ancestor	祖宗， 祖先； 原型； 先驱 (n.)
1782	hazardous	危险的； 冒险的 (adj.)
1783	locality	地区， 地点 (n.)
1784	proceeding	诉讼 (n.)
1785	artery	动脉； 干线， 要道 (n.)
1786	panic	恐慌， 惊慌失措 (v.)
1787	underestimate	对…估计不足，低估 (vt.)
1788	fold	折叠，合拢 (vt.)
1789	transient	短暂的， 转瞬即逝的； 临时的， 暂住的 (adj.)
1790	hurl	猛投， 狠掷； 大声叫骂 (vt.)
1791	competitive	竞争的， 比赛的； 好竞争的， 求胜心切的； 有竞争力的 (adj.)
1792	dean	教长， 主任牧师； 学院院长， 系主任， 训导主任 (n.)
1793	sponge	用湿海绵擦， 揩； 过寄生生活 (v.)
1794	abuse	滥用； 虐待； 辱骂， 毁谤 (vt.)
1795	scheme	密谋， 策划 (v.)
1796	insulate	使绝缘， 使隔热， 使隔音； 隔离， 使隔绝 (vt.)
1797	consequently	因此， 因而， 所以 (adv.)
1798	drain	慢慢减少 (vi.)
1799	reluctance	不愿， 勉强 (n.)
1800	rape	强奸 (n&vt.)
1801	isolate	使隔离， 使孤立 (vt.)
1802	popularity	普及， 流行； 声望 (n.)
1803	nickname	绰号，诨名 (n.)
1804	subsequent	随后的， 后来的 (adj.)
1805	metabolic	代谢作用的， 新陈代谢的 (adj.)
1806	humanity	人类， 人； 人性； 人道， 博爱； 人文学科 (n.)
1807	innovation	新方法， 新事物； 革新， 创新 (n.)
1808	litter	乱扔废弃物 (vi.)
1809	charge	索价；控告；使充电，使充满；向前冲 (v.)
1810	shutter	百叶窗； 快门 (n.)
1811	alternate	交替的， 轮流的； 间隔的 (adj.)
1812	biography	传记 (n.)
1813	procedure	程序； 手续； 步骤 (n.)
1814	sample	样品，试样，样本 (n.)
1815	plunge	纵身投入， 猛冲， 猛跌 (n&v.)
1816	skeptical	表示怀疑的 (adj.)
1817	ultraviolet	紫外的 (adj.)
1818	planetary	行星的 (n.)
1819	visa	签证 (n.)
1820	diagnose	诊断； 判断 (vt.)
1821	petition	请愿， 正式请求 (v.)
1822	vicinity	周围地区， 邻近地区 (n.)
1823	naive	幼稚的； 天真的； 轻信的 (adj.)
1824	essential	必要的，本质的 (adj.)
1825	expenditure	经费， 支出额； 花费， 支出， 消耗 (n.)
1826	vent	通风口，排放口；开衩 (n.)
1827	haunt	常出没于；使苦恼，使担忧；萦绕在心头，缠绕 (vt.)
1828	precede	在…之前， 先于 (vt.)
1829	gasp	喘气，倒抽气 (vi.)
1830	stroll	散步， 闲逛 (n&vi.)
1831	furnish	供应， 提供； 装备 (vt.)
1832	differentiate	区分，区别 (vi.)
1833	contact	接触，联系，交往 (n.)
1834	garment	衣服 (n.)
1835	discharge	释放，排出；卸货 (v.)
1836	exclude	把…排除在外 (vt.)
1837	scary	可怕的， 骇人的； 惊慌的， 害怕的； 胆小的， 易受惊的 (adj.)
1838	criticism	批评， 批判； 评论， 评论文章 (n.)
1839	enlighten	启发， 开导 (vt.)
1840	utmost	最远的 (adj.)
1841	prospective	预期的； 未来的； 可能的 (adj.)
1842	deduct	减去， 扣除 (v.)
1843	plaster	灰浆，灰泥；石膏；橡皮膏，膏药 (n.)
1844	consultancy	顾问； 顾问服务公司 (n.)
1845	metropolitan	大都市的， 大都会的； 首都的 (adj.)
1846	portray	描写， 描绘； 扮演， 饰演 (vt.)
1847	garbage	垃圾， 废物； 废话； 无用的资料 (n.)
1848	suspicious	猜疑的， 疑心的； 可疑的； 表示怀疑的 (adj.)
1849	scrub	用力擦洗，把…擦净；取消 (v.)
1850	complain	抱怨， 诉苦； 控告， 投诉 (vi.)
1851	homogeneous	同种类的， 同性质的， 有相同特征的 (adj.)
1852	affirm	断言， 坚持声称； 证实， 确认 (vt.)
1853	profound	深度的， 深切的， 深远的； 知识渊博的， 见解深刻的； 深奥的 (adj.)
1854	marble	大理石； 弹子； 弹子游戏 (n.)
1855	anxiety	焦虑， 忧虑； 渴望， 热望 (n.)
1856	adjust	适应 (vi.)
1857	aspiration	强烈的愿望； 志向， 抱负 (n.)
1858	vigorous	朝气蓬勃的； 有力的， 用力的 (adj.)
1859	vocal	喜欢畅所欲言的，直言不讳的；嗓音的，发声的 (adj.)
1860	deem	认为， 视为 (vt.)
1861	origin	起源， 起因； 出身， 血统 (n.)
1862	clash	发生冲突；不协调；砰地相撞，发出刺耳的撞击声 (vi.)
1863	overturn	倾覆， 翻转， 翻倒 (vi.)
1864	compel	强迫， 迫使屈服 (vt.)
1865	depress	使沮丧， 使不景气； 按下 (vt.)
1866	capable	有能力的， 有才能的 (adj.)
1867	burden	重担，精神负担 (n.)
1868	salute	敬礼，致意 (vi.)
1869	clasp	扣子，钩子；紧抱，紧握 (n.)
1870	symposium	讨论会， 专题报告会； 专题论文集 (n.)
1871	hover	翱翔； 逗留在近旁， 徘徊； 彷徨， 犹豫 (vi.)
1872	random	任意的， 随机的 (adj.)
1873	dine	进餐 (vi.)
1874	personality	人格， 个性； 人物 (n.)
1875	sanction	批准，认可 (vt.)
1876	alert	警觉的，留神的，注意的 (adj.)
1877	deduce	推论， 推断， 演绎 (vt.)
1878	oak	栎树， 橡树； 栎木， 橡木 (n.)
1879	client	委托人， 当事人； 顾客 (n.)
1880	sip	小口地喝，抿，呷 (v.)
1881	dutiful	恭敬顺从的； 尽职的 (adj.)
1882	contend	争夺，竞争；搏斗，争斗 (vi.)
1883	conversion	转变， 变换； 改变信仰， 皈依 (n.)
1884	brilliant	光辉的； 卓越的 (adj.)
1885	bound	一定的；有义务的 (adj.)
1886	specification	规格， 规范； 明确说明； 说明书 (n.)
1887	deport	把…驱逐出境 (vt.)
1888	counter	柜台； 计数器； 筹码 (n.)
1889	rhythm	韵律， 节奏 (n.)
1890	layman	门外汉， 外行 (n.)
1891	conserve	保护， 保藏， 保存 (vt.)
1892	stroke	中风；一举，一次努力；划桨，划水；击，敲；报时的钟声；笔画，一笔；抚摸 (n.)
1893	breed	繁殖； 养育， 培育； 酿成， 产生 (v.)
1894	tease	戏弄， 取笑； 挑逗， 撩拨 (vt.)
1895	rash	轻率的，鲁莽的 (adj.)
1896	fragrance	芳香， 香味； 香水 (n.)
1897	management	管理； 处理； 管理部门， 管理人员 (n.)
1898	cylinder	圆柱体， 圆筒； 气缸， 泵体 (n.)
1899	fort	堡垒， 城堡 (n.)
1900	avoid	避免， 躲开； 撤销 (vt.)
1901	comprehensive	广泛的； 综合的； 理解的 (adj.)
1902	tunnel	挖， 开 (v.)
1903	assign	指派， 分配； 布置； 指定 (vt.)
1904	withdraw	收回， 撤回； 撤退 (v.)
1905	straightforward	正直的， 坦率的； 易懂的， 简单的 (adj.)
1906	elaborate	复杂的； 精心制作的 (adj.)
1907	expert	熟练的 (adj.)
1908	decade	十年， 十年期 (n.)
1909	fulfill	履行， 实现， 完成； 满足， 使满意 (vt.)
1910	crowd	聚集， 挤， 涌 (vi.)
1911	congress	代表大会； 国会， 议会 (n.)
1912	mechanical	机械的， 机械制造的， 机械学的， 力学的； 呆板的 (adj.)
1913	divine	神的， 神授的， 天赐的； 极好的， 极美的 (adj.)
1914	slaughter	屠杀， 杀戮； 屠宰 (n&vt.)
1915	foul	难闻的，发臭的；令人不愉快的，糟透了的；污浊的，肮脏的；下流的，辱骂性的；恶劣的，有暴风雨的；邪恶的，罪恶的 (adj.)
1916	output	产量；输出，输出功率 (n.)
1917	intricate	错综复杂的， 复杂精细的 (adj.)
1918	fatigue	疲劳 (v.)
1919	agony	痛苦， 苦恼 (n.)
1920	contemplate	盘算， 计议； 思量， 对…周密考虑； 注视， 凝视 (vt.)
1921	majority	多数， 大多数 (n.)
1922	drag	拖，拉；迫使，硬拉；拖着脚步走 (v.)
1923	zinc	锌 (n.)
1924	costume	服装， 服饰； 戏装， 成套服装 (n.)
1925	clamp	夹紧，夹住，固定 (vt.)
1926	issue	发行； 分发， 发出 (v.)
1927	maturity	成熟 (n.)
1928	vain	徒劳的； 自负的 (adj.)
1929	decree	法令，政令；判决，裁决 (n.)
1930	conservation	保存， 保护， 避免浪费； 守恒 (n.)
1931	supplement	增补， 补充； 增刊， 副刊 (n.)
1932	contrast	形成对比， 对比之下显出区别 (vi.)
1933	verdict	裁定； 定论， 判断性意见 (n.)
1934	stereo	立体的；立体声的 (adj.)
1935	defy	违抗， 蔑视； 使成为不可能； 惹， 激 (vt.)
1936	doctrine	教义， 教条； 主义 (n.)
1937	paragraph	段， 节 (n.)
1938	mediate	调解，斡旋 (vi.)
1939	pursuit	追求， 寻求； 追赶， 追逐； 事， 嗜好， 消遣 (n.)
1940	prophet	先知； 预言者 (n.)
1941	cycle	自行车、 摩托车； 循环 (n&v.)
1942	amplify	放大， 增强； 扩大； 详述， 进一步阐述 (vt.)
1943	lure	吸引，引诱，诱惑 (vt.)
1944	disposal	丢掉， 销毁； 处理； 排列， 布置 (n.)
1945	settlement	解决； 协议； 居留地， 小社区 (n.)
1946	whirl	旋转，急转；发晕，变混乱 (vi.)
1947	recede	退， 退去， 渐渐远去； 向后倾斜， 缩进 (vi.)
1948	literature	文学， 文学作品； 文献， 图书资料 (n.)
1949	digest	消化， 领会 (vt.)
1950	slump	大幅度下降，暴跌；突然倒下 (vi.)
1951	prejudice	偏见，成见 (n.)
1952	clearance	净空， 余隙； 许可， 批准； 票据交换， 清算； 清除， 清理， 出空 (n.)
1953	customary	习惯上的， 惯常的， 合乎习俗的 (adj.)
1954	immigrant	移民， 侨民 (n.)
1955	guardian	监护人； 守卫者， 保护者 (n.)
1956	veto	否决 (n&vt.)
1957	thorn	刺， 荆棘； 带刺小灌木 (n.)
1958	disposition	性情， 性格； 意向， 倾向； 排列， 部署 (n.)
1959	corporate	法人团体的， 公司的； 全体的， 共同的 (adj.)
1960	stabilize	稳定， 稳固 (v.)
1961	compensate	补偿， 弥补； 抵消 (v.)
1962	conscious	意识到的， 自觉的； 神志清醒的； 有意的， 存心的 (adj.)
1963	transaction	交易， 业务 (n.)
1964	constant	经常的，不断的，连续发生的；永恒的；忠实的，忠诚的 (adj.)
1965	bribe	向…贿赂，买通 (vt.)
1966	certify	证明， 证实； 发证书给 (vt.)
1967	intermittent	间歇的， 断断续续的 (adj.)
1968	outrage	义愤，愤慨；暴行，骇人听闻的事件 (n.)
1969	solitary	单独的， 独自的； 单个的， 唯一的； 孤独的， 隐居的 (adj.)
1970	diffuse	扩散， 弥漫； 传播， 散布 (v.)
1971	scramble	攀登，爬；争夺，抢夺 (vi.)
1972	orchestra	管弦乐队 (n.)
1973	immerse	使浸没； 使沉浸在， 使专心于 (vt.)
1974	sufficient	足够的， 充分的 (adj.)
1975	marshal	元帅，最高指挥官；总指挥，司仪；执法官，警察局长，消防队长 (n.)
1976	champagne	香槟酒 (n.)
1977	claim	声称，主张；对…提出要求，索取；使失踪或死亡；需要，值得 (vt.)
1978	widespread	分布广泛的， 普遍的 (adj.)
1979	antique	古时的，古老的 (adj.)
1980	communication	通讯， 交流， 交际； 通信工具， 交通联系 (n.)
1981	chronic	慢性的， 久病的； 长久的， 不断的； 积习难改的 (adj.)
1982	toxic	有毒的， 因中毒引起的 (adj.)
1983	contest	竞赛， 争夺 (n.)
1984	author	著作家， 作者 (n.)
1985	lever	杠，杠杆；途径，手段，工具 (n.)
1986	preserve	保护， 维持； 保存， 保藏； 腌制 (vt.)
1987	establish	建立， 设立； 确立； 证实 (vt.)
1988	expansion	扩大； 扩充； 扩张； 膨胀 (n.)
1989	wrench	猛拧，猛扭；挣脱；使扭伤 (vt.)
1990	relevant	有关的， 切题的 (adj.)
1991	expand	扩大， 膨胀 (v.)
1992	gaze	凝视， 盯， 注视 (n&vi.)
1993	proclaim	宣告， 宣布， 声明； 显示 (vt.)
1994	magistrate	地方行政官， 地方法官； 治安官 (n.)
1995	retrieve	重新得到， 取回， 收回； 挽回， 补救； 检索 (vi.)
1996	survey	俯瞰， 眺望； 全面审视， 调查； 测量， 勘定 (v.)
1997	jeopardize	危及， 危害 (vt.)
1998	spy	当间谍；暗中监视 (vi.)
1999	displace	取代， 替代； 迫使…离开家园， 使离开原位 (vt.)
2000	predominant	占主导地位的， 显著的 (adj.)
2001	recipe	烹饪法， 食谱； 方法， 秘诀， 诀窍 (n.)
2002	ideology	思想， 思想意识 (n.)
2003	mental	心理的， 精神的， 思想上的； 精神病的； 智力的 (adj.)
2004	decent	像样的， 过得去的， 体面的； 宽厚的， 大方的； 正派的； 合乎礼仪的， 得体的 (adj.)
2005	seam	缝， 接缝； 煤层 (n.)
2006	investigate	调查， 研究 (v.)
2007	racial	种族的， 人种的 (adj.)
2008	illusion	幻想， 错误的观念； 错觉， 幻觉， 假象 (n.)
2009	considerable	相当大的； 重要的 (adj.)
2010	productivity	生产力； 生产率 (n.)
2011	proposition	论点， 主张； 建议， 提案； 命题 (n.)
2012	reserve	保留，留存；预订 (vt.)
2013	savage	残暴的，凶猛的，粗鲁的；未开化的，野蛮的 (adj.)
2014	heap	堆， 大量 (n.)
2015	sympathy	同情； 一致； 支持， 赞同 (n.)
2016	consumer	消费者， 用户， 消耗者 (n.)
2017	cripple	跛子，伤残人 (n.)
2018	brief	简短的，短暂的 (adj.)
2019	console	安慰，慰问 (vt.)
2020	initiative	主动性， 首创精神； 主动的行动， 倡议； 主动权 (n.)
2021	recover	重新获得， 挽回； 恢复 (v.)
2022	clockwise	顺时针方向地 (adv.)
2023	embark	上船； 着手， 开始工作 (vi.)
2024	medication	药物治疗； 药物 (n.)
2025	drill	钻， 打； 训练 (v.)
2026	friction	不和， 抵触； 摩擦 (n.)
2027	confer	商谈，商议 (vi.)
2028	intelligent	聪明的； 理智的 (adj.)
2029	clerk	店员； 办事员， 职员 (n.)
2030	acknowledge	承认， 承认…的权威； 告知收到， 确认； 对…表示谢意， 报偿 (vt.)
2031	equip	装备， 配备； 使有准备 (vt.)
2032	deferential	恭敬的， 恭顺的 (adj.)
2033	prescient	预知的， 预见的 (adj.)
2034	manuscript	手稿， 原稿， 底稿； 手写本 (n.)
2035	luxury	奢侈； 奢侈品 (n.)
2036	overthrow	推翻，打倒；使终止，摒弃 (vt.)
2037	knit	编结， 编织； 愈合 (vi.)
2038	inflict	把…强加给； 使…遭受， 使…承担 (vt.)
2039	worthwhile	值得花时间做的 (adj.)
2040	inland	在内地， 向内地 (adv.)
2041	stumble	绊脚， 绊倒； 跌跌撞撞地走； 结结巴巴 (vi.)
2042	specialty	特产， 名产， 特色菜； 专业， 专长 (n.)
2043	vary	变化， 有差异 (vi.)
2044	readily	乐意地， 欣然地； 容易地； 很快地， 立即 (adv.)
2045	coherent	条理清楚的， 连贯的； 一致的， 协调的 (adj.)
2046	intercourse	性交； 交流， 交往， 交际 (n.)
2047	convenience	方便； 便利设施 (n.)
2048	decency	得体；宽容，大方；正派，合乎礼仪，体面； (n.)
2049	falsehood	谬误， 虚假； 谎言， 说谎 (n.)
2050	discipline	纪律，训练；惩罚；学科 (n.)
2051	ponder	思索， 考虑， 沉思 (v.)
2052	objective	客观的， 无偏见的 (adj.)
2053	exert	用， 尽； 运用， 行使 (vt.)
2054	scandal	丑事， 丑闻； 流言蜚语； 反感， 愤慨 (n.)
2055	composite	混合成的，综合成的 (adj.)
2056	hinder	阻碍， 妨碍 (vt.)
2057	scent	香味，气味；臭迹；踪迹，线索；香水 (n.)
2058	estimate	估计； 评价 (vt.)
2059	diploma	毕业文凭， 毕业证书， 资格证书 (n.)
2060	exhibit	显示；陈列，展览 (vt.)
2061	brand	商标，牌子 (n.)
2062	suspension	暂停， 中止； 暂令停止参加， 暂时剥夺； 悬架， 悬置机构； 悬浮液； 悬， 挂， 吊 (n.)
2063	alcohol	酒精， 乙醇 (n.)
2064	inevitable	不可避免的， 必然的 (adj.)
2065	deny	否定， 拒绝相信 (vt.)
2066	trench	沟， 沟渠 (n.)
2067	subtract	减， 减去； 去掉 (vt.)
2068	recreation	娱乐活动， 消遣 (n.)
2069	frustration	挫败， 挫折， 受挫 (n.)
2070	allowance	津贴， 补贴； 零用钱 (n.)
2071	hurricane	飓风 (n.)
2072	hike	徒步旅行 (vi.)
2073	ancient	古代的， 古老的； 年老的， 看上去很老的 (adj.)
2074	mission	使命， 任务； 使团 (n.)
2075	cognitive	认知的， 认识能力的 (adj.)
2076	adopt	收养； 采用， 采取； 正式通过， 批准 (vt.)
